PX LAST	DHA VM Equity
08-07-16	37400
07-07-16	38600
06-07-16	38400
05-07-16	36200
04-07-16	37500
01-07-16	38000
30-06-16	35900
29-06-16	34700
28-06-16	32500
27-06-16	33300
24-06-16	33300
23-06-16	32800
22-06-16	30700
21-06-16	28700
20-06-16	29300
17-06-16	29500
16-06-16	29900
15-06-16	30500
14-06-16	30400
13-06-16	30400
10-06-16	29400
09-06-16	27700
08-06-16	26500
07-06-16	26600
06-06-16	26400
03-06-16	27000
02-06-16	26800
01-06-16	26000
31-05-16	24500
30-05-16	24600
27-05-16	24300
26-05-16	24000
25-05-16	24200
24-05-16	24200
23-05-16	24000
20-05-16	22700
19-05-16	22500
18-05-16	23200
17-05-16	23200
16-05-16	23100
13-05-16	23500
12-05-16	23600
11-05-16	23600
10-05-16	23700
09-05-16	23700
06-05-16	23800
05-05-16	23800
04-05-16	23900
29-04-16	23900
28-04-16	23700
27-04-16	23700
26-04-16	23900
25-04-16	23700
22-04-16	23700
21-04-16	23900
20-04-16	24100
19-04-16	24300
15-04-16	24300
14-04-16	24400
13-04-16	24500
12-04-16	25100
11-04-16	25300
08-04-16	24800
07-04-16	24000
06-04-16	24600
05-04-16	24200
04-04-16	26000
01-04-16	26400
31-03-16	27300
30-03-16	26800
29-03-16	26800
28-03-16	25900
25-03-16	25600
24-03-16	25100
23-03-16	25100
22-03-16	24300
21-03-16	24300
18-03-16	24200
17-03-16	24300
16-03-16	24200
15-03-16	23700
14-03-16	23500
11-03-16	24100
10-03-16	24000
09-03-16	23500
08-03-16	23500
07-03-16	23700
04-03-16	24300
03-03-16	24300
02-03-16	24200
01-03-16	23900
29-02-16	23300
26-02-16	22800
25-02-16	22700
24-02-16	22700
23-02-16	23100
22-02-16	23600
19-02-16	23100
18-02-16	22600
17-02-16	22000
16-02-16	21700
15-02-16	21300
05-02-16	21400
04-02-16	20800
03-02-16	20900
02-02-16	20800
01-02-16	21000
29-01-16	21100
28-01-16	21100
27-01-16	21000
25-01-16	20900
21-01-16	20000
20-01-16	20000
19-01-16	20000
18-01-16	20000
15-01-16	20300
14-01-16	20600
13-01-16	20700
12-01-16	20700
11-01-16	20300
08-01-16	20800
07-01-16	21500
06-01-16	20300
05-01-16	20400
04-01-16	20400
31-12-15	20600
30-12-15	20900
29-12-15	20700
28-12-15	20300
25-12-15	20300
24-12-15	20800
23-12-15	20800
22-12-15	21100
21-12-15	21300
18-12-15	20800
17-12-15	20300
16-12-15	20300
15-12-15	19900
14-12-15	19800
11-12-15	19300
10-12-15	19400
09-12-15	19300
08-12-15	19100
07-12-15	18700
04-12-15	18900
03-12-15	19000
02-12-15	18800
01-12-15	19000
30-11-15	18900
27-11-15	19000
26-11-15	19600
25-11-15	18500
24-11-15	18300
23-11-15	18400
20-11-15	18500
19-11-15	18400
18-11-15	18500
17-11-15	18400
16-11-15	18300
13-11-15	18300
12-11-15	18200
11-11-15	18200
10-11-15	18100
09-11-15	18200
06-11-15	17800
05-11-15	18100
04-11-15	18200
03-11-15	18400
02-11-15	18400
30-10-15	18000
29-10-15	18200
28-10-15	18000
27-10-15	17800
26-10-15	17900
23-10-15	18100
22-10-15	18100
21-10-15	17900
20-10-15	17900
19-10-15	17900
16-10-15	17800
15-10-15	18100
14-10-15	18500
13-10-15	18500
12-10-15	17700
09-10-15	17900
08-10-15	18100
07-10-15	18100
06-10-15	18700
05-10-15	18200
02-10-15	18400
01-10-15	17800
30-09-15	17100
29-09-15	17000
28-09-15	17200
25-09-15	17000
24-09-15	17000
23-09-15	17000
22-09-15	17200
21-09-15	17200
18-09-15	17300
17-09-15	17200
16-09-15	17000
15-09-15	17000
14-09-15	17000
11-09-15	17000
10-09-15	17000
09-09-15	17000
08-09-15	17000
07-09-15	17000
04-09-15	17200
03-09-15	17200
01-09-15	17900
31-08-15	17600
28-08-15	17700
27-08-15	17400
26-08-15	17700
25-08-15	17300
24-08-15	17200
21-08-15	17800
20-08-15	17800
19-08-15	18000
18-08-15	18000
17-08-15	18100
14-08-15	18100
13-08-15	18000
