Mine	Year	Variable	Value
M1	FY15	q_growth	-0.15
M1	FY15	q_growth	-0.14
M1	FY15	q_growth	-0.13
M1	FY15	q_growth	-0.12
M1	FY15	q_growth	-0.11
M1	FY15	q_growth	-0.1
M1	FY15	q_growth	-0.09
M1	FY15	q_growth	-0.08
M1	FY15	q_growth	-0.07
M1	FY15	q_growth	-0.06
M1	FY15	q_growth	-0.05
M1	FY16	q_growth	0
M1	FY16	q_growth	0.01
M1	FY16	q_growth	0.02
M1	FY16	q_growth	0.03
M1	FY16	q_growth	0.04
M1	FY16	q_growth	0.05
M1	FY16	q_growth	0.06
M1	FY16	q_growth	0.07
M1	FY16	q_growth	0.08
M1	FY16	q_growth	0.09
M1	FY16	q_growth	0.1
M1	FY17	q_growth	0
M1	FY17	q_growth	0.01
M1	FY17	q_growth	0.02
M1	FY17	q_growth	0.03
M1	FY17	q_growth	0.04
M1	FY17	q_growth	0.05
M1	FY17	q_growth	0.06
M1	FY17	q_growth	0.07
M1	FY17	q_growth	0.08
M1	FY17	q_growth	0.09
M1	FY17	q_growth	0.1
M1	FY18	q_growth	0
M1	FY18	q_growth	0.01
M1	FY18	q_growth	0.02
M1	FY18	q_growth	0.03
M1	FY18	q_growth	0.04
M1	FY18	q_growth	0.05
M1	FY18	q_growth	0.06
M1	FY18	q_growth	0.07
M1	FY18	q_growth	0.08
M1	FY18	q_growth	0.09
M1	FY18	q_growth	0.1
M1	FY19	q_growth	0
M1	FY19	q_growth	0.01
M1	FY19	q_growth	0.02
M1	FY19	q_growth	0.03
M1	FY19	q_growth	0.04
M1	FY19	q_growth	0.05
M1	FY19	q_growth	0.06
M1	FY19	q_growth	0.07
M1	FY19	q_growth	0.08
M1	FY19	q_growth	0.09
M1	FY19	q_growth	0.1
M2	FY15	q_growth	-0.05
M2	FY15	q_growth	-0.04
M2	FY15	q_growth	-0.03
M2	FY15	q_growth	-0.02
M2	FY15	q_growth	-0.01
M2	FY15	q_growth	0
M2	FY15	q_growth	0.01
M2	FY15	q_growth	0.02
M2	FY15	q_growth	0.03
M2	FY15	q_growth	0.04
M2	FY15	q_growth	0.05
M2	FY16	q_growth	0.1
M2	FY16	q_growth	0.11
M2	FY16	q_growth	0.12
M2	FY16	q_growth	0.13
M2	FY16	q_growth	0.14
M2	FY16	q_growth	0.15
M2	FY16	q_growth	0.16
M2	FY16	q_growth	0.17
M2	FY16	q_growth	0.18
M2	FY16	q_growth	0.19
M2	FY16	q_growth	0.2
M2	FY17	q_growth	0.1
M2	FY17	q_growth	0.11
M2	FY17	q_growth	0.12
M2	FY17	q_growth	0.13
M2	FY17	q_growth	0.14
M2	FY17	q_growth	0.15
M2	FY17	q_growth	0.16
M2	FY17	q_growth	0.17
M2	FY17	q_growth	0.18
M2	FY17	q_growth	0.19
M2	FY17	q_growth	0.2
M2	FY18	q_growth	0.1
M2	FY18	q_growth	0.11
M2	FY18	q_growth	0.12
M2	FY18	q_growth	0.13
M2	FY18	q_growth	0.14
M2	FY18	q_growth	0.15
M2	FY18	q_growth	0.16
M2	FY18	q_growth	0.17
M2	FY18	q_growth	0.18
M2	FY18	q_growth	0.19
M2	FY18	q_growth	0.2
M2	FY19	q_growth	0.1
M2	FY19	q_growth	0.11
M2	FY19	q_growth	0.12
M2	FY19	q_growth	0.13
M2	FY19	q_growth	0.14
M2	FY19	q_growth	0.15
M2	FY19	q_growth	0.16
M2	FY19	q_growth	0.17
M2	FY19	q_growth	0.18
M2	FY19	q_growth	0.19
M2	FY19	q_growth	0.2
M3	FY15	q_growth	0.58
M3	FY15	q_growth	0.59
M3	FY15	q_growth	0.6
M3	FY15	q_growth	0.61
M3	FY15	q_growth	0.62
M3	FY15	q_growth	0.63
M3	FY15	q_growth	0.01
M3	FY15	q_growth	0.02
M3	FY15	q_growth	0.03
M3	FY15	q_growth	0.04
M3	FY15	q_growth	0.05
M3	FY16	q_growth	-0.2
M3	FY16	q_growth	-0.19
M3	FY16	q_growth	-0.18
M3	FY16	q_growth	-0.17
M3	FY16	q_growth	-0.16
M3	FY16	q_growth	-0.15
M3	FY16	q_growth	-0.14
M3	FY16	q_growth	-0.13
M3	FY16	q_growth	-0.12
M3	FY16	q_growth	-0.11
M3	FY16	q_growth	-0.1
M3	FY17	q_growth	0.15
M3	FY17	q_growth	0.16
M3	FY17	q_growth	0.17
M3	FY17	q_growth	0.18
M3	FY17	q_growth	0.19
M3	FY17	q_growth	0.2
M3	FY17	q_growth	0.21
M3	FY17	q_growth	0.22
M3	FY17	q_growth	0.23
M3	FY17	q_growth	0.24
M3	FY17	q_growth	0.25
M3	FY18	q_growth	0.1
M3	FY18	q_growth	0.11
M3	FY18	q_growth	0.12
M3	FY18	q_growth	0.13
M3	FY18	q_growth	0.14
M3	FY18	q_growth	0.15
M3	FY18	q_growth	0.16
M3	FY18	q_growth	0.17
M3	FY18	q_growth	0.18
M3	FY18	q_growth	0.19
M3	FY18	q_growth	0.2
M3	FY19	q_growth	0.05
M3	FY19	q_growth	0.06
M3	FY19	q_growth	0.07
M3	FY19	q_growth	0.08
M3	FY19	q_growth	0.09
M3	FY19	q_growth	0.1
M3	FY19	q_growth	0.11
M3	FY19	q_growth	0.12
M3	FY19	q_growth	0.13
M3	FY19	q_growth	0.14
M3	FY19	q_growth	0.15
M1	FY15	q_growth_P	0
M1	FY15	q_growth_P	0
M1	FY15	q_growth_P	5
M1	FY15	q_growth_P	10
M1	FY15	q_growth_P	20
M1	FY15	q_growth_P	30
M1	FY15	q_growth_P	20
M1	FY15	q_growth_P	10
M1	FY15	q_growth_P	5
M1	FY15	q_growth_P	0
M1	FY15	q_growth_P	0
M1	FY16	q_growth_P	0
M1	FY16	q_growth_P	0
M1	FY16	q_growth_P	5
M1	FY16	q_growth_P	10
M1	FY16	q_growth_P	20
M1	FY16	q_growth_P	30
M1	FY16	q_growth_P	20
M1	FY16	q_growth_P	10
M1	FY16	q_growth_P	5
M1	FY16	q_growth_P	0
M1	FY16	q_growth_P	0
M1	FY17	q_growth_P	0
M1	FY17	q_growth_P	0
M1	FY17	q_growth_P	5
M1	FY17	q_growth_P	10
M1	FY17	q_growth_P	20
M1	FY17	q_growth_P	30
M1	FY17	q_growth_P	20
M1	FY17	q_growth_P	10
M1	FY17	q_growth_P	5
M1	FY17	q_growth_P	0
M1	FY17	q_growth_P	0
M1	FY18	q_growth_P	0
M1	FY18	q_growth_P	0
M1	FY18	q_growth_P	5
M1	FY18	q_growth_P	10
M1	FY18	q_growth_P	20
M1	FY18	q_growth_P	30
M1	FY18	q_growth_P	20
M1	FY18	q_growth_P	10
M1	FY18	q_growth_P	5
M1	FY18	q_growth_P	0
M1	FY18	q_growth_P	0
M1	FY19	q_growth_P	0
M1	FY19	q_growth_P	0
M1	FY19	q_growth_P	5
M1	FY19	q_growth_P	10
M1	FY19	q_growth_P	20
M1	FY19	q_growth_P	30
M1	FY19	q_growth_P	20
M1	FY19	q_growth_P	10
M1	FY19	q_growth_P	5
M1	FY19	q_growth_P	0
M1	FY19	q_growth_P	0
M2	FY15	q_growth_P	0
M2	FY15	q_growth_P	0
M2	FY15	q_growth_P	5
M2	FY15	q_growth_P	10
M2	FY15	q_growth_P	20
M2	FY15	q_growth_P	30
M2	FY15	q_growth_P	20
M2	FY15	q_growth_P	10
M2	FY15	q_growth_P	5
M2	FY15	q_growth_P	0
M2	FY15	q_growth_P	0
M2	FY16	q_growth_P	0
M2	FY16	q_growth_P	0
M2	FY16	q_growth_P	0
M2	FY16	q_growth_P	10
M2	FY16	q_growth_P	20
M2	FY16	q_growth_P	40
M2	FY16	q_growth_P	20
M2	FY16	q_growth_P	10
M2	FY16	q_growth_P	0
M2	FY16	q_growth_P	0
M2	FY16	q_growth_P	0
M2	FY17	q_growth_P	0
M2	FY17	q_growth_P	0
