Year	Variable	Value
FY15	mat_cost	-0.15
FY15	mat_cost	-0.14
FY15	mat_cost	-0.13
FY15	mat_cost	-0.12
FY15	mat_cost	-0.11
FY15	mat_cost	-0.1
FY15	mat_cost	-0.09
FY15	mat_cost	-0.08
FY15	mat_cost	-0.07
FY15	mat_cost	-0.06
FY15	mat_cost	-0.05
FY16	mat_cost	0
FY16	mat_cost	0.01
FY16	mat_cost	0.02
FY16	mat_cost	0.03
FY16	mat_cost	0.04
FY16	mat_cost	0.05
FY16	mat_cost	0.06
FY16	mat_cost	0.07
FY16	mat_cost	0.08
FY16	mat_cost	0.09
FY16	mat_cost	0.1
FY17	mat_cost	0
FY17	mat_cost	0.01
FY17	mat_cost	0.02
FY17	mat_cost	0.03
FY17	mat_cost	0.04
FY17	mat_cost	0.05
FY17	mat_cost	0.06
FY17	mat_cost	0.07
FY17	mat_cost	0.08
FY17	mat_cost	0.09
FY17	mat_cost	0.1
FY18	mat_cost	0
FY18	mat_cost	0.01
FY18	mat_cost	0.02
FY18	mat_cost	0.03
FY18	mat_cost	0.04
FY18	mat_cost	0.05
FY18	mat_cost	0.06
FY18	mat_cost	0.07
FY18	mat_cost	0.08
FY18	mat_cost	0.09
FY18	mat_cost	0.1
FY19	mat_cost	0.05
FY19	mat_cost	0.06
FY19	mat_cost	0.07
FY19	mat_cost	0.08
FY19	mat_cost	0.09
FY19	mat_cost	0.1
FY19	mat_cost	0.11
FY19	mat_cost	0.12
FY19	mat_cost	0.13
FY19	mat_cost	0.14
FY19	mat_cost	0.15
FY15	mat_cost_P	0
FY15	mat_cost_P	0
FY15	mat_cost_P	5
FY15	mat_cost_P	10
FY15	mat_cost_P	20
FY15	mat_cost_P	30
FY15	mat_cost_P	20
FY15	mat_cost_P	10
FY15	mat_cost_P	5
FY15	mat_cost_P	0
FY15	mat_cost_P	0
FY16	mat_cost_P	0
FY16	mat_cost_P	0
FY16	mat_cost_P	0
FY16	mat_cost_P	10
FY16	mat_cost_P	20
FY16	mat_cost_P	40
FY16	mat_cost_P	20
FY16	mat_cost_P	10
FY16	mat_cost_P	0
FY16	mat_cost_P	0
FY16	mat_cost_P	0
FY17	mat_cost_P	0
FY17	mat_cost_P	0
FY17	mat_cost_P	5
FY17	mat_cost_P	10
FY17	mat_cost_P	20
FY17	mat_cost_P	30
FY17	mat_cost_P	20
FY17	mat_cost_P	10
FY17	mat_cost_P	5
FY17	mat_cost_P	0
FY17	mat_cost_P	0
FY18	mat_cost_P	0
FY18	mat_cost_P	0
FY18	mat_cost_P	0
FY18	mat_cost_P	10
FY18	mat_cost_P	20
FY18	mat_cost_P	40
FY18	mat_cost_P	20
FY18	mat_cost_P	10
FY18	mat_cost_P	0
FY18	mat_cost_P	0
FY18	mat_cost_P	0
FY19	mat_cost_P	0
FY19	mat_cost_P	0
FY19	mat_cost_P	5
FY19	mat_cost_P	10
FY19	mat_cost_P	20
FY19	mat_cost_P	30
FY19	mat_cost_P	20
FY19	mat_cost_P	10
FY19	mat_cost_P	5
FY19	mat_cost_P	0
FY19	mat_cost_P	0
FY15	lab_cost	0
FY15	lab_cost	0.01
FY15	lab_cost	0.02
FY15	lab_cost	0.03
FY15	lab_cost	0.04
FY15	lab_cost	0.05
FY15	lab_cost	0.06
FY15	lab_cost	0.07
FY15	lab_cost	0.08
FY15	lab_cost	0.09
FY15	lab_cost	0.1
FY16	lab_cost	0
FY16	lab_cost	0.01
FY16	lab_cost	0.02
FY16	lab_cost	0.03
FY16	lab_cost	0.04
FY16	lab_cost	0.05
FY16	lab_cost	0.06
FY16	lab_cost	0.07
FY16	lab_cost	0.08
FY16	lab_cost	0.09
FY16	lab_cost	0.1
FY17	lab_cost	0
FY17	lab_cost	0.01
FY17	lab_cost	0.02
FY17	lab_cost	0.03
FY17	lab_cost	0.04
FY17	lab_cost	0.05
FY17	lab_cost	0.06
FY17	lab_cost	0.07
FY17	lab_cost	0.08
FY17	lab_cost	0.09
FY17	lab_cost	0.1
FY18	lab_cost	0
FY18	lab_cost	0.01
FY18	lab_cost	0.02
FY18	lab_cost	0.03
FY18	lab_cost	0.04
FY18	lab_cost	0.05
FY18	lab_cost	0.06
FY18	lab_cost	0.07
FY18	lab_cost	0.08
FY18	lab_cost	0.09
FY18	lab_cost	0.1
FY19	lab_cost	0.05
FY19	lab_cost	0.06
FY19	lab_cost	0.07
FY19	lab_cost	0.08
FY19	lab_cost	0.09
FY19	lab_cost	0.1
FY19	lab_cost	0.11
FY19	lab_cost	0.12
FY19	lab_cost	0.13
FY19	lab_cost	0.14
FY19	lab_cost	0.15
FY15	lab_cost_P	0
FY15	lab_cost_P	0
FY15	lab_cost_P	5
FY15	lab_cost_P	10
FY15	lab_cost_P	20
FY15	lab_cost_P	30
FY15	lab_cost_P	20
FY15	lab_cost_P	10
FY15	lab_cost_P	5
FY15	lab_cost_P	0
FY15	lab_cost_P	0
FY16	lab_cost_P	0
FY16	lab_cost_P	0
FY16	lab_cost_P	0
FY16	lab_cost_P	10
FY16	lab_cost_P	20
FY16	lab_cost_P	40
FY16	lab_cost_P	20
FY16	lab_cost_P	10
FY16	lab_cost_P	0
FY16	lab_cost_P	0
FY16	lab_cost_P	0
FY17	lab_cost_P	0
FY17	lab_cost_P	0
FY17	lab_cost_P	5
FY17	lab_cost_P	10
FY17	lab_cost_P	20
FY17	lab_cost_P	30
FY17	lab_cost_P	20
FY17	lab_cost_P	10
FY17	lab_cost_P	5
FY17	lab_cost_P	0
FY17	lab_cost_P	0
FY18	lab_cost_P	0
FY18	lab_cost_P	0
FY18	lab_cost_P	0
FY18	lab_cost_P	10
FY18	lab_cost_P	20
FY18	lab_cost_P	40
FY18	lab_cost_P	20
FY18	lab_cost_P	10
FY18	lab_cost_P	0
FY18	lab_cost_P	0
FY18	lab_cost_P	0
FY19	lab_cost_P	0
FY19	lab_cost_P	0
FY19	lab_cost_P	5
FY19	lab_cost_P	10
FY19	lab_cost_P	20
FY19	lab_cost_P	30
FY19	lab_cost_P	20
FY19	lab_cost_P	10
FY19	lab_cost_P	5
FY19	lab_cost_P	0
FY19	lab_cost_P	0
FY15	sell_exp	-0.0032222
FY15	sell_exp	-0.002222
FY15	sell_exp	-0.0012218
FY15	sell_exp	-0.0002216
FY15	sell_exp	0.0007786
FY15	sell_exp	0.0017788
FY15	sell_exp	0.002779
FY15	sell_exp	0.0037792
FY15	sell_exp	0.0047794
FY15	sell_exp	0.0057796
FY15	sell_exp	0.0067798
FY16	sell_exp	-0.0032222
FY16	sell_exp	-0.002222
FY16	sell_exp	-0.0012218
FY16	sell_exp	-0.0002216
FY16	sell_exp	0.0007786
FY16	sell_exp	0.0017788
FY16	sell_exp	0.002779
FY16	sell_exp	0.0037792
FY16	sell_exp	0.0047794
FY16	sell_exp	0.0057796
FY16	sell_exp	0.0067798
FY17	sell_exp	-0.0032222
FY17	sell_exp	-0.002222
FY17	sell_exp	-0.0012218
FY17	sell_exp	-0.0002216
FY17	sell_exp	0.0007786
FY17	sell_exp	0.0017788
FY17	sell_exp	0.002779
FY17	sell_exp	0.0037792
FY17	sell_exp	0.0047794
FY17	sell_exp	0.0057796
FY17	sell_exp	0.0067798
FY18	sell_exp	-0.0032222
FY18	sell_exp	-0.002222
FY18	sell_exp	-0.0012218
FY18	sell_exp	-0.0002216
FY18	sell_exp	0.0007786
FY18	sell_exp	0.0017788
FY18	sell_exp	0.002779
FY18	sell_exp	0.0037792
FY18	sell_exp	0.0047794
FY18	sell_exp	0.0057796
FY18	sell_exp	0.0067798
FY19	sell_exp	-0.0032222
FY19	sell_exp	-0.002222
FY19	sell_exp	-0.0012218
FY19	sell_exp	-0.0002216
FY19	sell_exp	0.0007786
FY19	sell_exp	0.0017788
FY19	sell_exp	0.002779
FY19	sell_exp	0.0037792
FY19	sell_exp	0.0047794
FY19	sell_exp	0.0057796
FY19	sell_exp	0.0067798
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	100
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY15	sell_exp_P	0
FY16	sell_exp_P	0
FY16	sell_exp_P	0
FY16	sell_exp_P	5
FY16	sell_exp_P	10
FY16	sell_exp_P	20
FY16	sell_exp_P	30
FY16	sell_exp_P	20
FY16	sell_exp_P	10
